Number,User Story
1,"As an archivist, I would like to package email exports for long term preservation."
2,"As an archivist, I would like to download email from an IMAP account to preserve it."
3,"As an archivist, I would like to easily create PDF access files for email."
4,"As an archivist, I would like to preserve email, including externally-hosted content."
5,"As an archivist, I would like to be able to easily install and use the Mailbag utility on my computer."
6,"As an archivist, I would like to package email attachments for long-term preservation."
7,"As an archivist, I would like to package email exports into BagIt compliant bags before. transferring those bags to my repository system so I can validate fixity during transfer."
8,"As an archivist, I would like to deliver packaged emails via a network connection."
9,"As an archivist, I would like to be able to validate the contents of a Mailbag package"
10,"As an archivist, I would like to easily view the folder structure and other organizational details about a set of emails."
11,"As an archivist, I would like to easily view a list of senders and receivers for a set of emails."
12,"As an archivist, I would like to preserve the web pages linked within emails."
13,"As an archivist, I would like to process large email inboxes on my computer."
14,"As a person with a vision impairment, I would like to be able to zoom and resize text and/or use a screen reader."
15,"As an IT professional, I would like a command line tool to package email before transferring them to an archival repository."
16,"As an IT professional, I would like a tool that is easy to upgrade and maintain."
17,"As an IT professional, I would like to choose the dependencies that work best in my environment."
18,"As a historian, I would like to be able to browse and view individual emails."
19,"As a historian, I would like to be able to see basic information about a group of emails in a Mailbag."
20,"As a historian, I would like to access attachments and web pages linked in emails."
21,"As a data scientist, I would like to easily extract text and entities from email to analyze at scale."
22,"As a tool maintainer, I would like a common and stable export format to save email."
23,"As a self-archivist, I would like an email export format that allows easy viewing of individual emails."
24,"As a self-archivist, I would like an email export tool that is well-documented and easy to use without command line experience."
